date,negative_avg,positive_avg,neutral_avg,total_count,new_cases,#RT
2021-03-19,0.4464128717607984,0.11100363744736039,0.4425834907918414,0.34978334229269964,0.47075268502102596,0.5016737453656077
2021-03-20,0.44490830078037413,0.11139075606099567,0.44370094315863046,0.3613318230578459,0.47446049825571873,0.5200686362116239
2021-03-21,0.4411836166684477,0.11293213575754155,0.4458842475740111,0.37513696989379364,0.4796324688074018,0.541232406641362
2021-03-22,0.4363074869974151,0.11171855595790782,0.45197395704467747,0.38586723654473115,0.4863423906310982,0.5599089243237024
2021-03-23,0.4335074520099519,0.11342672442557725,0.4530658235644713,0.39810701316589486,0.48778390359365903,0.5751297907734193
2021-03-24,0.4245860897333312,0.1144395642579421,0.46097434600872705,0.40274503455955796,0.5052086011250247,0.5875069647976694
2021-03-25,0.41746545040017197,0.11519490800259087,0.46733964159723723,0.40575486829292473,0.5160445907299341,0.5916325310222821
2021-03-26,0.41136993032868585,0.11305280386611358,0.47557726580520043,0.40179243839390116,0.5262659859152116,0.5975903536921527
2021-03-27,0.40791996035988587,0.11024209879049786,0.4818379408496161,0.38857341885196794,0.534150750127541,0.5938523808802948
2021-03-28,0.409661226728221,0.10955582352481799,0.48078294974696084,0.37320634662889335,0.5351028786302563,0.5860027732674337
2021-03-29,0.41127327791097285,0.10895079111428743,0.4797759309747394,0.3729899303972572,0.5365177511758414,0.5873415062889226
2021-03-30,0.4143087270755121,0.1058891081388216,0.4798021647856659,0.376284333913359,0.5449513079778725,0.5882374686844634
2021-03-31,0.4106591342889208,0.10531515582369176,0.48402570988738713,0.38045385874565246,0.5405106168721753,0.5870911428835326
2021-04-01,0.41228298788521495,0.10532647572406932,0.48239053639071544,0.38340617736627325,0.5431362963693108,0.5857785907001128
2021-04-02,0.41698530647976717,0.10556548523407405,0.4774492082861587,0.3889793681503866,0.5338550414991096,0.576669633584545
2021-04-03,0.4176808642541456,0.10410256584940418,0.47821656989645017,0.39260602867130057,0.5164628452764543,0.5813024352640386
2021-04-04,0.41192966731141906,0.10468297836444004,0.4833873543241408,0.3941436038550864,0.5230491555653829,0.5791503776878415
2021-04-05,0.4116645865995868,0.10495183639829218,0.48338357700212103,0.39548354049524936,0.5165624804359438,0.5786105258816233
2021-04-06,0.40464008031407317,0.10636206550688043,0.48899785417904645,0.39894694320347157,0.49917428027583494,0.5847936646467199
2021-04-07,0.401405073689773,0.10722410015819242,0.4913708261520347,0.4075166612298055,0.47605998889094614,0.6034751917910933
2021-04-08,0.39936853628319746,0.10781255512931257,0.49281890858749017,0.416224847818828,0.4854533999166155,0.6213752428583537
2021-04-09,0.399057088026476,0.10723796997677014,0.493704941996754,0.4209639174904336,0.4808813715552276,0.641329173359052
2021-04-10,0.3992050973751204,0.10630839740915551,0.4944865052157241,0.42571801606701387,0.4820516850729748,0.6532633573648563
2021-04-11,0.40573181719868867,0.10257329841059212,0.4916948843907193,0.4314238664887469,0.49191343462907877,0.6626351101273552
2021-04-12,0.40810949224816406,0.09806710205171407,0.493823405700122,0.39369499948479564,0.4961524577782692,0.6047371008729407
2021-04-13,0.41694985960838116,0.09975697582323163,0.4832931645683872,0.3748471315511124,0.5166650460413006,0.5814225160911599
2021-04-14,0.4212545077446533,0.09992257319170592,0.4788229190636407,0.354731499493965,0.530634747895074,0.550062369630579
2021-04-15,0.42189848612464653,0.09815926648510634,0.479942247390247,0.3362287222367577,0.5076286166031071,0.5225077323057574
2021-04-16,0.42252907862165895,0.09888335764498378,0.478587563733357,0.33660849759954614,0.511291141128941,0.512046074179675
2021-04-17,0.42355196787606586,0.09967377812453056,0.47677425399940343,0.339389689340376,0.5097641124278878,0.5001001161098229
2021-04-18,0.4199631565569469,0.0991218279507923,0.48091501549226073,0.35600541027069965,0.47966337169109374,0.5148097980396988
2021-04-19,0.41683094458838227,0.10175214723385892,0.4814169081777587,0.40883336216969296,0.47565851780712076,0.5876347974930458
2021-04-20,0.41297152641812884,0.10036345211765621,0.48666502146421486,0.4331049086126062,0.46584605302242194,0.6163723991659282
2021-04-21,0.41035096614326816,0.09928568964334693,0.49036334421338484,0.4568844863841329,0.45569845179216745,0.6403021970769167
2021-04-22,0.41191525003790513,0.09934158284221352,0.4887431671198813,0.4870639122590238,0.4510414405006267,0.6728278296165684
2021-04-23,0.41005088996933364,0.09747640344003008,0.4924727065906364,0.5065081744240527,0.43987244568351985,0.6917860107006497
2021-04-24,0.40885559682465955,0.09720801884508447,0.49393638433025605,0.5124554667371664,0.4335725198770811,0.6969201973684163
