date,negative_avg,positive_avg,neutral_avg,total_count,new_cases
2020-01-22,0.297759167208333,0.0463636112083333,0.655877221541667,36333.0,0.0
2020-01-23,0.496622656541667,0.03662073,0.466756613375,203690.0,0.0
2020-01-24,0.421974544333333,0.0532214085,0.524804047125,568486.0,3.0
2020-01-25,0.442638943583333,0.04034343625,0.517017620375,856089.0,1.0
2020-01-26,0.429383953083333,0.0277351455,0.542880901291667,1137737.0,4.0
2020-01-27,0.517503256958333,0.029296915625,0.453199827375,871086.0,1.0
2020-01-28,0.4220220865,0.0504837338333333,0.527494179666667,765994.0,5.0
2020-01-29,0.496639764333333,0.0458651519583333,0.457495083416667,1224525.0,3.0
2020-01-30,0.448169852583333,0.057513004125,0.494317143291667,1561487.0,0.0
2020-01-31,0.459571178833333,0.0575390764166667,0.482889744708333,1393586.0,11.0
2020-02-01,0.491893559791667,0.0649566749583333,0.44314976525,486900.0,6.0
2020-02-02,0.47106044675,0.061151995875,0.4677875575,509002.0,2.0
2020-02-03,0.431878315625,0.0797334554166667,0.488388229125,495046.0,11.0
2020-02-04,0.444608223791667,0.0693862832083333,0.486005492916667,558397.0,1.0
2020-02-05,0.410815410083333,0.113620221166667,0.475564368583333,507140.0,2.0
2020-02-06,0.458741197041667,0.069134408,0.472124395041667,543363.0,1.0
2020-02-07,0.436663837166667,0.0699517202916667,0.493384442458333,523716.0,4.0
2020-02-08,0.441097401583333,0.0539123385833333,0.504990259833333,521650.0,9.0
2020-02-09,0.468869846666667,0.0686421981666667,0.462487955166667,508788.0,3.0
2020-02-10,0.4372041065,0.0637777337916667,0.499018159625,577652.0,0.0
2020-02-11,0.45048927625,0.0604486255833333,0.489062098083333,588881.0,4.0
2020-02-12,0.484838366666667,0.05502117,0.460140463375,543024.0,1.0
2020-02-13,0.4601804275,0.057110562625,0.482709009875,608078.0,2.0
2020-02-14,0.413073072541667,0.0743664884166667,0.512560439083333,576843.0,1.0
2020-02-15,0.433805115625,0.0746497295416667,0.491545155083333,453694.0,1.0
2020-02-16,0.376583258375,0.0583945690416667,0.565022172541667,486732.0,0.0
2020-02-17,0.419426592041667,0.0692200499583333,0.511353357958333,528292.0,2.0
2020-02-18,0.455163066416667,0.067879631625,0.476957301875,559986.0,0.0
2020-02-19,0.476118520125,0.071565871625,0.452315608208333,505086.0,1.0
2020-02-20,0.433692162458333,0.0881081225833333,0.478199715,518655.0,2.0
2020-02-21,0.467023860125,0.0584721284583333,0.474504011333333,533032.0,21.0
2020-02-22,0.466196830291667,0.0540694900833333,0.479733679833333,434466.0,42.0
2020-02-23,0.490556700333333,0.0411024065416667,0.468340893125,76071.0,98.0
2020-02-24,0.443651411166667,0.0680999714166667,0.488248617416667,418257.0,77.0
2020-02-25,0.467523208208333,0.0516323704583333,0.480844421416667,479743.0,110.0
2020-02-26,0.458746190208333,0.0684701150833333,0.472783694708333,532390.0,163.0
2020-02-27,0.477868235875,0.0567084270833333,0.465423337083333,670246.0,267.0
2020-02-28,0.480092791916667,0.0591271195833333,0.460780088541667,1492093.0,305.0
2020-02-29,0.505401593625,0.06156254575,0.433035860708333,3041485.0,391.0
2020-03-01,0.478823423708333,0.062496505625,0.458680070708333,2250197.0,769.0
2020-03-02,0.452820919791667,0.101772727375,0.445406352875,564022.0,589.0
2020-03-03,0.477321130666667,0.0734088138333333,0.449270055625,2410600.0,718.0
2020-03-04,0.446436137875,0.0710096275833333,0.482554234583333,2604089.0,1044.0
2020-03-05,0.441727162666667,0.0751555667916667,0.483117270625,726492.0,1515.0
2020-03-06,0.463092059125,0.0853856827916667,0.451522258125,767870.0,1848.0
2020-03-07,0.509875615666667,0.075849558375,0.414274825958333,772470.0,2328.0
2020-03-08,0.490156155458333,0.07664934125,0.433194503333333,745449.0,2659.0
2020-03-09,0.472684513875,0.0728393120833333,0.454476174,753788.0,3245.0
2020-03-10,0.470203164,0.0731288061666667,0.456668029916667,726317.0,3580.0
2020-03-11,0.4482168885,0.075966010125,0.47581710125,727768.0,5874.0
2020-03-12,0.438690286875,0.0773377584583333,0.483971954666667,734380.0,4396.0
2020-03-13,0.455552031375,0.0763451344583333,0.468102833916667,682949.0,12269.0
2020-03-14,0.455523477708333,0.0855205939166667,0.458955928333333,681795.0,8984.0
2020-03-15,0.433869519458333,0.096777947,0.469352533625,644807.0,9151.0
2020-03-16,0.405730576583333,0.099092830125,0.49517659325,626236.0,12678.0
2020-03-17,0.403662375458333,0.083840611875,0.512497012583333,1433219.0,13541.0
2020-03-18,0.435243081375,0.0928535850416667,0.471903333625,927826.0,16925.0
2020-03-19,0.46125084475,0.090250142625,0.448499012541667,1636424.0,24181.0
2020-03-20,0.442166859083333,0.08766921375,0.470163927208333,1662313.0,27226.0
2020-03-21,0.438951927458333,0.0980869031666667,0.4629611695,1497630.0,28352.0
2020-03-22,0.447978155708333,0.094453017625,0.45756882675,1698931.0,29973.0
2020-03-23,0.453637609333333,0.0881251875,0.458237203166667,1748502.0,38257.0
2020-03-24,0.416173653333333,0.108784398708333,0.475041948166667,551881.0,35769.0
2020-03-25,0.393821224291667,0.115904781375,0.49027399425,726550.0,43963.0
2020-03-26,0.432476183583333,0.0921666420416667,0.475357174583333,1781610.0,54936.0
2020-03-27,0.408708759916667,0.110102502916667,0.481188737166667,1548020.0,55645.0
2020-03-28,0.420494617416667,0.104729089833333,0.474776292833333,1732813.0,60214.0
2020-03-29,0.442803330458333,0.0956617654166667,0.46153490425,1737547.0,47664.0
2020-03-30,0.440430015375,0.0975571085,0.46201287625,1230536.0,56198.0
