date,new_cases
2020-01-22,0.0
2020-01-23,0.0
2020-01-24,1.0
2020-01-25,1.3333333333333333
2020-01-26,2.6666666666666665
2020-01-27,2.0
2020-01-28,3.3333333333333335
2020-01-29,3.0
2020-01-30,2.6666666666666665
2020-01-31,4.666666666666667
2020-02-01,5.666666666666667
2020-02-02,6.333333333333333
2020-02-03,6.333333333333333
2020-02-04,4.666666666666667
2020-02-05,4.666666666666667
2020-02-06,1.3333333333333333
2020-02-07,2.3333333333333335
2020-02-08,4.666666666666667
2020-02-09,5.333333333333333
2020-02-10,4.0
2020-02-11,2.3333333333333335
2020-02-12,1.6666666666666667
2020-02-13,2.3333333333333335
2020-02-14,1.3333333333333333
2020-02-15,1.3333333333333333
2020-02-16,0.6666666666666666
2020-02-17,1.0
2020-02-18,0.6666666666666666
2020-02-19,1.0
2020-02-20,1.0
2020-02-21,8.0
2020-02-22,21.666666666666668
2020-02-23,53.666666666666664
2020-02-24,72.33333333333333
2020-02-25,95.0
2020-02-26,116.66666666666667
2020-02-27,180.0
2020-02-28,245.0
2020-02-29,321.0
2020-03-01,488.3333333333333
2020-03-02,583.0
2020-03-03,692.0
2020-03-04,783.6666666666666
2020-03-05,1092.3333333333333
2020-03-06,1469.0
2020-03-07,1897.0
2020-03-08,2278.3333333333335
2020-03-09,2744.0
2020-03-10,3161.3333333333335
2020-03-11,4233.0
2020-03-12,4616.666666666667
2020-03-13,7513.0
2020-03-14,8549.666666666666
2020-03-15,10134.666666666666
2020-03-16,10271.0
2020-03-17,11790.0
2020-03-18,14381.333333333334
2020-03-19,18215.666666666668
2020-03-20,22777.333333333332
2020-03-21,26586.333333333332
2020-03-22,28517.0
2020-03-23,32194.0
2020-03-24,34666.333333333336
2020-03-25,39329.666666666664
2020-03-26,44889.333333333336
2020-03-27,51514.666666666664
2020-03-28,56931.666666666664
2020-03-29,54507.666666666664
2020-03-30,54692.0
2020-03-31,56212.0
2020-04-01,63981.333333333336
2020-04-02,68736.66666666667
2020-04-03,71278.0
2020-04-04,63143.666666666664
2020-04-05,58823.666666666664
2020-04-06,55019.333333333336
2020-04-07,58229.333333333336
2020-04-08,61521.666666666664
2020-04-09,65223.666666666664
2020-04-10,69164.66666666667
2020-04-11,66238.33333333333
2020-04-12,76918.0
2020-04-13,72426.0
2020-04-14,75645.33333333333
2020-04-15,61111.333333333336
2020-04-16,68753.33333333333
2020-04-17,68899.66666666667
2020-04-18,68058.0
2020-04-19,61905.0
2020-04-20,57680.666666666664
2020-04-21,57156.0
2020-04-22,58449.666666666664
2020-04-23,60384.333333333336
2020-04-24,58856.666666666664
2020-04-25,57511.333333333336
2020-04-26,54046.666666666664
2020-04-27,53741.666666666664
2020-04-28,51398.0
2020-04-29,51380.666666666664
2020-04-30,53087.666666666664
2020-05-01,56441.333333333336
2020-05-02,57280.333333333336
2020-05-03,54857.0
2020-05-04,50362.666666666664
2020-05-05,49117.0
2020-05-06,51319.666666666664
2020-05-07,54186.333333333336
2020-05-08,55689.666666666664
2020-05-09,53618.0
2020-05-10,48807.0
2020-05-11,45938.333333333336
2020-05-12,45783.666666666664
2020-05-13,46593.666666666664
2020-05-14,48195.0
2020-05-15,48564.0
2020-05-16,48927.0
2020-05-17,44980.333333333336
2020-05-18,42865.0
2020-05-19,42500.666666666664
2020-05-20,44495.0
2020-05-21,46158.333333333336
2020-05-22,47077.666666666664
2020-05-23,46472.333333333336
2020-05-24,43731.333333333336
2020-05-25,40364.0
2020-05-26,39498.333333333336
2020-05-27,39513.0
2020-05-28,42826.0
2020-05-29,44898.0
2020-05-30,46793.0
2020-05-31,44076.333333333336
2020-06-01,40719.0
2020-06-02,39220.666666666664
2020-06-03,38563.666666666664
2020-06-04,42398.333333333336
2020-06-05,44575.0
2020-06-06,46442.0
2020-06-07,43362.666666666664
2020-06-08,39664.333333333336
2020-06-09,38768.0
2020-06-10,40491.666666666664
2020-06-11,43552.333333333336
2020-06-12,46910.0
2020-06-13,47909.0
2020-06-14,46329.0
2020-06-15,42110.666666666664
2020-06-16,42131.333333333336
2020-06-17,45459.333333333336
2020-06-18,50886.333333333336
2020-06-19,53760.666666666664
2020-06-20,55240.333333333336
2020-06-21,53211.666666666664
2020-06-22,52067.0
2020-06-23,54211.0
2020-06-24,58151.333333333336
2020-06-25,62406.666666666664
2020-06-26,65105.666666666664
2020-06-27,66516.66666666667
2020-06-28,65439.333333333336
2020-06-29,61980.0
2020-06-30,64205.0
2020-07-01,68443.66666666667
2020-07-02,75493.0
2020-07-03,77982.33333333333
2020-07-04,77607.0
2020-07-05,74604.66666666667
2020-07-06,70419.66666666667
2020-07-07,72934.66666666667
2020-07-08,77293.0
2020-07-09,84383.33333333333
2020-07-10,88718.33333333333
2020-07-11,88977.66666666667
2020-07-12,87263.33333333333
2020-07-13,83117.33333333333
2020-07-14,84874.66666666667
2020-07-15,89088.33333333333
2020-07-16,96219.66666666667
2020-07-17,99522.0
2020-07-18,99255.66666666667
2020-07-19,92889.66666666667
2020-07-20,88604.33333333333
2020-07-21,87999.66666666667
2020-07-22,92479.0
2020-07-23,96574.0
2020-07-24,101134.66666666667
2020-07-25,99998.33333333333
2020-07-26,93480.0
2020-07-27,87538.0
2020-07-28,86542.0
2020-07-29,92256.66666666667
2020-07-30,96797.0
2020-07-31,100667.0
2020-08-01,97615.0
2020-08-02,86511.0
2020-08-03,78611.66666666667
2020-08-04,77962.33333333333
2020-08-05,84641.33333333333
2020-08-06,88623.0
2020-08-07,92114.66666666667
2020-08-08,90156.33333333333
