date,negative_count,negative_avg,positive_count,positive_avg,neutral_count,neutral_avg
2020-01-22,14493,0.297759167208333,1779,0.0463636112083333,20061,0.655877221541667
2020-01-23,99275,0.496622656541667,7367,0.03662073,97048,0.466756613375
2020-01-24,233430,0.421974544333333,29652,0.0532214085,305404,0.524804047125
2020-01-25,376001,0.442638943583333,34265,0.04034343625,445823,0.517017620375
2020-01-26,489539,0.429383953083333,31525,0.0277351455,616673,0.542880901291667
2020-01-27,451737,0.517503256958333,25199,0.029296915625,394150,0.453199827375
2020-01-28,323282,0.4220220865,38621,0.0504837338333333,404091,0.527494179666667
2020-01-29,611369,0.496639764333333,55809,0.0458651519583333,557347,0.457495083416667
2020-01-30,695855,0.448169852583333,87863,0.057513004125,777769,0.494317143291667
2020-01-31,641326,0.459571178833333,79468,0.0575390764166667,672792,0.482889744708333
2020-02-01,232297,0.491893559791667,32381,0.0649566749583333,222222,0.44314976525
2020-02-02,240679,0.47106044675,30816,0.061151995875,237507,0.4677875575
2020-02-03,213258,0.431878315625,40125,0.0797334554166667,241663,0.488388229125
2020-02-04,247566,0.444608223791667,38926,0.0693862832083333,271905,0.486005492916667
2020-02-05,208970,0.410815410083333,57546,0.113620221166667,240624,0.475564368583333
2020-02-06,250610,0.458741197041667,37426,0.069134408,255327,0.472124395041667
2020-02-07,229263,0.436663837166667,36644,0.0699517202916667,257809,0.493384442458333
2020-02-08,227907,0.441097401583333,28605,0.0539123385833333,265138,0.504990259833333
2020-02-09,237402,0.468869846666667,34696,0.0686421981666667,236690,0.462487955166667
2020-02-10,252091,0.4372041065,36933,0.0637777337916667,288628,0.499018159625
2020-02-11,265597,0.45048927625,35732,0.0604486255833333,287552,0.489062098083333
2020-02-12,265132,0.484838366666667,29933,0.05502117,247959,0.460140463375
2020-02-13,279354,0.4601804275,34886,0.057110562625,293838,0.482709009875
2020-02-14,237906,0.413073072541667,42630,0.0743664884166667,296307,0.512560439083333
2020-02-15,195450,0.433805115625,34077,0.0746497295416667,224167,0.491545155083333
2020-02-16,183989,0.376583258375,28558,0.0583945690416667,274185,0.565022172541667
2020-02-17,221875,0.419426592041667,36403,0.0692200499583333,270014,0.511353357958333
2020-02-18,255794,0.455163066416667,37461,0.067879631625,266731,0.476957301875
2020-02-19,240426,0.476118520125,36651,0.071565871625,228009,0.452315608208333
2020-02-20,226431,0.433692162458333,46114,0.0881081225833333,246110,0.478199715
2020-02-21,247143,0.467023860125,32103,0.0584721284583333,253786,0.474504011333333
2020-02-22,201977,0.466196830291667,24620,0.0540694900833333,207869,0.479733679833333
2020-02-23,37344,0.490556700333333,3131,0.0411024065416667,35596,0.468340893125
2020-02-24,179492,0.443651411166667,29894,0.0680999714166667,208871,0.488248617416667
2020-02-25,225189,0.467523208208333,25411,0.0516323704583333,229143,0.480844421416667
2020-02-26,246548,0.458746190208333,36828,0.0684701150833333,249014,0.472783694708333
2020-02-27,323744,0.477868235875,38060,0.0567084270833333,308442,0.465423337083333
2020-02-28,683442,0.480092791916667,85570,0.0591271195833333,723081,0.460780088541667
2020-02-29,1552649,0.505401593625,186589,0.06156254575,1302247,0.433035860708333
2020-03-01,1079866,0.478823423708333,139380,0.062496505625,1030951,0.458680070708333
2020-03-02,257533,0.452820919791667,56736,0.101772727375,249753,0.445406352875
2020-03-03,1150953,0.477321130666667,166550,0.0734088138333333,1093097,0.449270055625
2020-03-04,1170227,0.446436137875,180967,0.0710096275833333,1252895,0.482554234583333
2020-03-05,321755,0.441727162666667,54860,0.0751555667916667,349877,0.483117270625
2020-03-06,357364,0.463092059125,65106,0.0853856827916667,345400,0.451522258125
2020-03-07,394389,0.509875615666667,58691,0.075849558375,319390,0.414274825958333
2020-03-08,364863,0.490156155458333,57205,0.07664934125,323381,0.433194503333333
2020-03-09,357599,0.472684513875,54956,0.0728393120833333,341233,0.454476174
2020-03-10,341765,0.470203164,52935,0.0731288061666667,331617,0.456668029916667
2020-03-11,327084,0.4482168885,55194,0.075966010125,345490,0.47581710125
2020-03-12,322441,0.438690286875,57886,0.0773377584583333,354053,0.483971954666667
2020-03-13,309781,0.455552031375,50904,0.0763451344583333,322264,0.468102833916667
2020-03-14,310743,0.455523477708333,58287,0.0855205939166667,312765,0.458955928333333
2020-03-15,280025,0.433869519458333,62347,0.096777947,302435,0.469352533625
2020-03-16,254148,0.405730576583333,61901,0.099092830125,310187,0.49517659325
2020-03-17,576972,0.403662375458333,119588,0.083840611875,736659,0.512497012583333
2020-03-18,420011,0.435243081375,79093,0.0928535850416667,428722,0.471903333625
2020-03-19,754476,0.46125084475,147820,0.090250142625,734128,0.448499012541667
2020-03-20,735432,0.442166859083333,145708,0.08766921375,781173,0.470163927208333
2020-03-21,657147,0.438951927458333,147177,0.0980869031666667,693306,0.4629611695
2020-03-22,761859,0.447978155708333,159768,0.094453017625,777304,0.45756882675
2020-03-23,792262,0.453637609333333,154096,0.0881251875,802144,0.458237203166667
2020-03-24,230022,0.416173653333333,59905,0.108784398708333,261954,0.475041948166667
2020-03-25,288356,0.393821224291667,82139,0.115904781375,356055,0.49027399425
2020-03-26,770442,0.432476183583333,164222,0.0921666420416667,846946,0.475357174583333
2020-03-27,636935,0.408708759916667,168503,0.110102502916667,742582,0.481188737166667
2020-03-28,729384,0.420494617416667,181405,0.104729089833333,822024,0.474776292833333
2020-03-29,770852,0.442803330458333,165763,0.0956617654166667,800932,0.46153490425
2020-03-30,552804,0.440430015375,111465,0.0975571085,566267,0.46201287625
2020-03-31,255609,0.418264288541667,69065,0.115546949041667,279390,0.466188762541667
2020-04-01,533857,0.445364899875,99590,0.092663980125,543958,0.461971119916667
2020-04-02,773537,0.460280369125,133029,0.0792274733333333,774073,0.460492157541667
2020-04-03,705078,0.4363332365,146956,0.0911248379583333,762103,0.472541925625
2020-04-04,789978,0.458034969166667,169359,0.0983291199166667,762751,0.443635910958333
2020-04-05,784071,0.452513216416667,175835,0.101716967416667,770033,0.445769816125
2020-04-06,792203,0.447993783333333,165782,0.0938831754583333,810017,0.458123041083333
2020-04-07,771585,0.421779419958333,169907,0.093189307875,884632,0.485031272291667
2020-04-08,567745,0.433000437916667,123767,0.101045548125,596101,0.465954013916667
2020-04-09,503204,0.419677632083333,112042,0.104509625083333,541988,0.475812743083333
2020-04-10,810174,0.453490387958333,169338,0.0945082765,808598,0.452001335583333
2020-04-11,815616,0.483416063541667,156513,0.0927253235416667,714110,0.423858612916667
2020-04-12,793817,0.48812969275,156765,0.0968683244583333,674813,0.415001982916667
2020-04-13,766401,0.453417705791667,144962,0.0856618905,781281,0.460920403625
2020-04-14,777905,0.445513835583333,147794,0.0848982175833333,818574,0.469587946875
2020-04-15,840507,0.47287897325,139577,0.0783466887083333,797865,0.448774338
2020-04-16,790607,0.444776877833333,158784,0.0894139705416667,827298,0.465809151333333
2020-04-17,766758,0.447854726958333,139740,0.0816758287916667,805633,0.470469444125
2020-04-18,599945,0.409684148833333,147939,0.100687366583333,717553,0.489628484541667
2020-04-19,843780,0.469221789708333,154989,0.0861597224166667,798478,0.444618487791667
2020-04-20,824903,0.459401394916667,141486,0.0789522642916667,828183,0.461646340791667
2020-04-21,217165,0.412373771458333,64995,0.123927775958333,244061,0.463698452583333
2020-04-22,788259,0.449854841416667,155783,0.0887759405833333,807628,0.461369218
2020-04-23,800717,0.427106200958333,162116,0.0879400186666667,897275,0.48495378025
2020-04-24,843035,0.403251102333333,205650,0.0980247119583333,1042233,0.498724185625
2020-04-25,1080125,0.453288949,182142,0.0772874177916667,1111303,0.46942363325
2020-04-26,1127152,0.478205728166667,173997,0.0741203199166667,1053340,0.447673951875
2020-04-27,1075196,0.444920272625,195564,0.0813533125416667,1144061,0.473726414708333
2020-04-28,808979,0.44745009525,135317,0.0829124662916667,842917,0.469637438416667
2020-04-29,618533,0.432531911875,123804,0.100328529375,633801,0.467139558958333
2020-04-30,834683,0.432611110333333,184956,0.096365680125,902590,0.471023209625
2020-05-01,762468,0.407953759791667,174887,0.0934933985833333,933330,0.498552841416667
2020-05-02,843162,0.442198287916667,167662,0.088548252875,889655,0.469253459375
2020-05-03,895659,0.449528294708333,165242,0.08378627325,924878,0.466685432125
2020-05-04,978404,0.460015531083333,164999,0.078364400125,974167,0.461620068875
2020-05-05,518947,0.442629632416667,115329,0.0980675167916667,537830,0.459302850833333
2020-05-06,1048751,0.467136606708333,194664,0.0873561729583333,989347,0.4455072205
2020-05-07,1211408,0.473127182833333,211138,0.0821430837916667,1136458,0.444729733333333
2020-05-08,1066409,0.4589040025,203376,0.0879826695416667,1049025,0.453113327833333
2020-05-09,961539,0.432550527333333,196314,0.088696633625,1061652,0.478752839
2020-05-10,994443,0.434676855833333,190712,0.08326802125,1101411,0.482055123
2020-05-11,1149332,0.433236757083333,225094,0.0855239730833333,1274432,0.481239269708333
2020-05-12,1140513,0.446893912375,196789,0.0801909725416667,1193348,0.472915115166667
2020-05-13,1230672,0.456730765291667,204098,0.0758558464583333,1254835,0.46741338825
2020-05-14,1173714,0.453442708916667,206032,0.07993874875,1204684,0.466618542208333
2020-05-15,1155303,0.45422524775,201194,0.0793736073333333,1183881,0.466401144833333
2020-05-16,1069624,0.461008309125,199783,0.0863341317083333,1042680,0.452657559166667
